similarity,distance,group,character,sub
0.5116209387779236,1,1,0,5
0.5148178339004517,2,1,0,5
0.39127930998802185,3,1,0,5
0.28650784492492676,4,1,0,5
0.4459148645401001,1,1,0,5
0.4834887981414795,2,1,0,5
0.3461405634880066,3,1,0,5
0.5372096300125122,1,1,0,5
0.4161706864833832,2,1,0,5
0.4986574053764343,1,1,0,5
0.5185779333114624,1,1,0,6
0.49424317479133606,2,1,0,6
0.43431445956230164,3,1,0,6
0.515195906162262,4,1,0,6
0.5140244960784912,5,1,0,6
0.4498133361339569,6,1,0,6
0.44412341713905334,7,1,0,6
0.5077403783798218,8,1,0,6
0.4312817454338074,9,1,0,6
0.5967358946800232,1,1,0,6
0.407359778881073,2,1,0,6
0.5353423953056335,3,1,0,6
0.5619316101074219,4,1,0,6
0.6308600902557373,5,1,0,6
0.6227596998214722,6,1,0,6
0.5375093817710876,7,1,0,6
0.6092520952224731,8,1,0,6
0.5286476016044617,1,1,0,6
0.6360105872154236,2,1,0,6
0.4777769446372986,3,1,0,6
0.5229917168617249,4,1,0,6
0.5403687953948975,5,1,0,6
0.5856621265411377,6,1,0,6
0.6148648858070374,7,1,0,6
0.5340525507926941,1,1,0,6
0.35008227825164795,2,1,0,6
0.38741162419319153,3,1,0,6
0.3567221462726593,4,1,0,6
0.5156120657920837,5,1,0,6
0.3175389766693115,6,1,0,6
0.5655516982078552,1,1,0,6
0.5557535886764526,2,1,0,6
0.5702035427093506,3,1,0,6
0.6887071132659912,4,1,0,6
0.6529169678688049,5,1,0,6
0.43998202681541443,1,1,0,6
0.630416989326477,2,1,0,6
0.5261013507843018,3,1,0,6
0.548911988735199,4,1,0,6
0.49399828910827637,1,1,0,6
0.5514119267463684,2,1,0,6
0.6105760335922241,3,1,0,6
0.5694347620010376,1,1,0,6
0.5768660306930542,2,1,0,6
0.5744795203208923,1,1,0,6
0.5597938299179077,1,1,0,7
,2,1,0,7
0.5571529269218445,3,1,0,7
0.5840551257133484,4,1,0,7
0.5229063034057617,5,1,0,7
0.5234372019767761,6,1,0,7
0.45740634202957153,7,1,0,7
0.49291595816612244,8,1,0,7
0.507178544998169,9,1,0,7
,1,1,0,7
0.4756160378456116,2,1,0,7
0.40507370233535767,3,1,0,7
0.42443639039993286,4,1,0,7
0.34910303354263306,5,1,0,7
0.4564099609851837,6,1,0,7
0.4776381850242615,7,1,0,7
0.6367900371551514,8,1,0,7
,1,1,0,7
,2,1,0,7
,3,1,0,7
,4,1,0,7
,5,1,0,7
,6,1,0,7
,7,1,0,7
0.5561337471008301,1,1,0,7
0.5562633275985718,2,1,0,7
0.477384090423584,3,1,0,7
0.43647217750549316,4,1,0,7
0.6291946768760681,5,1,0,7
0.43609267473220825,6,1,0,7
0.36731860041618347,1,1,0,7
0.454348087310791,2,1,0,7
0.3919927179813385,3,1,0,7
0.5485301613807678,4,1,0,7
0.46475744247436523,5,1,0,7
0.5480098724365234,1,1,0,7
0.5297771692276001,2,1,0,7
0.46376052498817444,3,1,0,7
0.389554500579834,4,1,0,7
0.5693557262420654,1,1,0,7
0.4076836109161377,2,1,0,7
0.3169941008090973,3,1,0,7
0.4657895863056183,1,1,0,7
0.38395148515701294,2,1,0,7
0.41117924451828003,1,1,0,7
0.5177796483039856,1,1,0,8
0.4577859044075012,2,1,0,8
0.5716949105262756,3,1,0,8
0.4243967831134796,4,1,0,8
0.5329801440238953,5,1,0,8
0.42066746950149536,6,1,0,8
0.49357205629348755,7,1,0,8
0.4587368071079254,8,1,0,8
0.38796788454055786,9,1,0,8
0.4250720143318176,1,1,0,8
0.4401357173919678,2,1,0,8
0.4284224808216095,3,1,0,8
0.4274003505706787,4,1,0,8
0.42187657952308655,5,1,0,8
0.4083103537559509,6,1,0,8
0.41195452213287354,7,1,0,8
0.4317212402820587,8,1,0,8
0.5898666381835938,1,1,0,8
0.5737370848655701,2,1,0,8
0.42487022280693054,3,1,0,8
0.5066914558410645,4,1,0,8
0.5601227879524231,5,1,0,8
0.45806562900543213,6,1,0,8
0.38414156436920166,7,1,0,8
0.44966578483581543,1,1,0,8
0.5603875517845154,2,1,0,8
0.464124470949173,3,1,0,8
0.5399730801582336,4,1,0,8
0.4261054992675781,5,1,0,8
0.4121990203857422,6,1,0,8
0.38895004987716675,1,1,0,8
0.3275209069252014,2,1,0,8
0.5064011812210083,3,1,0,8
0.4600210189819336,4,1,0,8
0.31591376662254333,5,1,0,8
0.2882499098777771,1,1,0,8
0.6101257801055908,2,1,0,8
0.3568207025527954,3,1,0,8
0.36066970229148865,4,1,0,8
0.4865466356277466,1,1,0,8
0.2811530828475952,2,1,0,8
0.3808387517929077,3,1,0,8
0.557074785232544,1,1,0,8
0.41252341866493225,2,1,0,8
0.37825727462768555,1,1,0,8
